"symbol"	"ensemble_ID"	"entrez_ID"	"norm_exp"
"CPS1"	"ENSG00000021826"	1373	0.17606230895277
"C8B"	"ENSG00000021852"	732	0
"FHL1"	"ENSG00000022267"	2273	0.632805706704526
"GABRA1"	"ENSG00000022355"	2554	0
"NLRP2"	"ENSG00000022556"	55655	0.321105243684486
"SLC45A4"	"ENSG00000022567"	57210	0.433632005099744
"RNF10"	"ENSG00000022840"	9921	0.676472840227634
"ZNF839"	"ENSG00000022976"	55778	0.506767152091898
"ZDHHC6"	"ENSG00000023041"	64429	0.537122508429578
"GRAMD1B"	"ENSG00000023171"	57476	0.54272293417831
"RNH1"	"ENSG00000023191"	6050	0.584439694848792
"NDUFS1"	"ENSG00000023228"	4719	0.609475408288734
"RB1CC1"	"ENSG00000023287"	9821	0.682236915490679
"ERP44"	"ENSG00000023318"	23071	0.589198115749421
"ALAS1"	"ENSG00000023330"	211	0.501346422512596
"BIRC3"	"ENSG00000023445"	330	0.514299795286475
"AKAP11"	"ENSG00000023516"	11215	0.624379777866978
"GLRX2"	"ENSG00000023572"	51022	0.321105243684486
"SNAPC1"	"ENSG00000023608"	6617	0.418520305937578
"DERA"	"ENSG00000023697"	51071	0.492415899276904
"STRAP"	"ENSG00000023734"	11171	0.62011539448375
"ABCC2"	"ENSG00000023839"	1244	0.365738527478368
"DEF6"	"ENSG00000023892"	50619	0.610505007163505
"PLEKHO1"	"ENSG00000023902"	51177	0.633043656129481
"GCLM"	"ENSG00000023909"	2730	0.443545437106853
"UBR2"	"ENSG00000024048"	23304	0.651078306304131
"EHD2"	"ENSG00000024422"	30846	0.211466106698157
"DEPDC1"	"ENSG00000024526"	55635	0.433093619580696
"CCDC28A"	"ENSG00000024862"	25901	0.49215783332125
"RRAGD"	"ENSG00000025039"	58528	0.509380683162522
"HSF2"	"ENSG00000025156"	3298	0.544848987356549
"PHF20"	"ENSG00000025293"	51230	0.581272990651485
"HSD17B6"	"ENSG00000025423"	8630	0.222165898401586
"NR1H3"	"ENSG00000025434"	10062	0.361452510713193
"TYMP"	"ENSG00000025708"	1890	0.4069206972706
"NCAPH2"	"ENSG00000025770"	29781	0.583066171160747
"TOMM34"	"ENSG00000025772"	10953	0.498452219993112
"SEC63"	"ENSG00000025796"	11231	0.645886317965896
"KPNA6"	"ENSG00000025800"	23633	0.636800296847642
"VIM"	"ENSG00000026025"	7431	0.762519128522283
"FAS"	"ENSG00000026103"	355	0.393056773735289
"RNASET2"	"ENSG00000026297"	8635	0.63483515241369
"CD44"	"ENSG00000026508"	960	0.689014621248759
"KCNG1"	"ENSG00000026559"	3755	0.18450478490653
"AGPAT4"	"ENSG00000026652"	56895	0.476612534161893
"SLAMF7"	"ENSG00000026751"	57823	0.357850582526472
"BTN3A1"	"ENSG00000026950"	11119	0.607498298377212
"MIPEP"	"ENSG00000027001"	4285	0.399880418671907
"PRKCH"	"ENSG00000027075"	5583	0.615961197272327
"INSRR"	"ENSG00000027644"	3645	0.0555414746003966
"IFNGR1"	"ENSG00000027697"	3459	0.553634458779003
"B4GALT7"	"ENSG00000027847"	11285	0.507481959775653
"SH2D2A"	"ENSG00000027869"	9047	0.3085100556211
"VRK2"	"ENSG00000028116"	7444	0.503618675238722
"TNFRSF1B"	"ENSG00000028137"	102465836	0.577413033279611
"VEZT"	"ENSG00000028203"	55591	0.605156317803056
"POU2F2"	"ENSG00000028277"	5452	0.535734092827729
"BRD9"	"ENSG00000028310"	65980	0.580704291245381
"SNX1"	"ENSG00000028528"	6642	0.62688809835028
"TBPL1"	"ENSG00000028839"	9519	0.50226307018246
"ARNTL2"	"ENSG00000029153"	56938	0.340429417004291
"BCLAF1"	"ENSG00000029363"	9774	0.776954639795707
"SLC39A9"	"ENSG00000029364"	55334	0.604501679372344
"ANK1"	"ENSG00000029534"	286	0.51850134627002
"IBSP"	"ENSG00000029559"	3381	0
"TFB1M"	"ENSG00000029639"	51106	0.402031672976614
"RABEP1"	"ENSG00000029725"	9135	0.633280901039933
"HMGB3"	"ENSG00000029993"	3149	0.528625392576006
"NUP160"	"ENSG00000030066"	23279	0.612237076420791
"BAK1"	"ENSG00000030110"	578	0.525048590809576
"MUSK"	"ENSG00000030304"	4593	0
